"minPts","eps","Precision", "Recall","F1"
5,0.5,0.977777777777778,0.45360824742268,0.619718309859155
5,0.51,1,0.422680412371134,0.594202898550725
5,0.52,1,0.422680412371134,0.594202898550725
5,0.53,1,0.402061855670103,0.573529411764706
5,0.54,1,0.371134020618557,0.541353383458647
5,0.55,1,0.319587628865979,0.484375
5,0.56,1,0.309278350515464,0.47244094488189
5,0.57,1,0.22680412371134,0.369747899159664
5,0.58,1,0.216494845360825,0.355932203389831
5,0.59,1,0.175257731958763,0.298245614035088
5,0.6,1,0.154639175257732,0.267857142857143
5,0.61,1,0.144329896907216,0.252252252252252
5,0.62,1,0.134020618556701,0.236363636363636
5,0.63,1,0.11340206185567,0.203703703703704
5,0.64,1,0.0927835051546392,0.169811320754717
5,0.65,1,0.0824742268041237,0.152380952380952
5,0.66,1,0.0721649484536082,0.134615384615385
5,0.67,1,0.0721649484536082,0.134615384615385
5,0.68,1,0.0721649484536082,0.134615384615385
5,0.69,1,0.0618556701030928,0.116504854368932
5,0.7,1,0.0515463917525773,0.0980392156862745
5,0.71,1,0.0412371134020619,0.0792079207920792
5,0.72,1,0.0309278350515464,0.06
5,0.73,1,0.0309278350515464,0.06
5,0.74,1,0.0206185567010309,0.0404040404040404
5,0.75,1,0.0206185567010309,0.0404040404040404
5,0.76,1,0.0206185567010309,0.0404040404040404
6,0.1,0.0097,1,0.0192136278102407
6,0.11,0.0097,1,0.0192136278102407
6,0.12,0.0097,1,0.0192136278102407
6,0.13,0.0097,1,0.0192136278102407
6,0.14,0.0097,1,0.0192136278102407
6,0.15,0.0097,1,0.0192136278102407
6,0.16,0.0097,1,0.0192136278102407
6,0.17,0.0097,1,0.0192136278102407
6,0.18,0.0097,1,0.0192136278102407
6,0.19,0.0097,1,0.0192136278102407
6,0.2,0.0097,1,0.0192136278102407
6,0.21,0.0097,1,0.0192136278102407
6,0.22,0.0097,1,0.0192136278102407
6,0.23,0.0097,1,0.0192136278102407
6,0.24,0.0097,1,0.0192136278102407
6,0.25,0.0097,1,0.0192136278102407
6,0.26,0.0097,1,0.0192136278102407
6,0.27,0.0097,1,0.0192136278102407
6,0.28,0.00971554487179487,1,0.0192441226068842
6,0.29,0.00973895582329317,1,0.0192900467336184
6,0.3,0.00981384055038446,1,0.0194369301673179
6,0.31,0.00997634474956289,1,0.019755600814664
6,0.32,0.0104066087329686,1,0.0205988532597154
6,0.33,0.0112110241737709,0.989690721649485,0.0221709006928406
6,0.34,0.012972972972973,0.989690721649485,0.0256102440976391
6,0.35,0.0157006848171037,0.969072164948454,0.0309007232084155
6,0.36,0.0207311636201516,0.958762886597938,0.0405847698014401
6,0.37,0.0280845692647523,0.917525773195876,0.0545009185548071
6,0.38,0.0412821758135017,0.876288659793814,0.0788497217068646
6,0.39,0.0603248259860789,0.804123711340206,0.112230215827338
6,0.4,0.0921717171717172,0.752577319587629,0.164229471316086
6,0.41,0.145922746781116,0.701030927835051,0.241563055062167
6,0.42,0.241758241758242,0.680412371134021,0.356756756756757
6,0.43,0.342857142857143,0.618556701030928,0.441176470588235
6,0.44,0.467213114754098,0.587628865979381,0.520547945205479
6,0.45,0.582417582417582,0.54639175257732,0.563829787234043
6,0.46,0.769230769230769,0.515463917525773,0.617283950617284
6,0.47,0.892857142857143,0.515463917525773,0.65359477124183
6,0.48,0.925925925925926,0.515463917525773,0.662251655629139
6,0.49,0.979591836734694,0.494845360824742,0.657534246575343
6,0.5,0.977777777777778,0.45360824742268,0.619718309859155
6,0.51,1,0.422680412371134,0.594202898550725
6,0.52,1,0.422680412371134,0.594202898550725
6,0.53,1,0.402061855670103,0.573529411764706
6,0.54,1,0.381443298969072,0.552238805970149
6,0.55,1,0.329896907216495,0.496124031007752
6,0.56,1,0.319587628865979,0.484375
6,0.57,1,0.237113402061856,0.383333333333333
6,0.58,1,0.216494845360825,0.355932203389831
6,0.59,1,0.175257731958763,0.298245614035088
6,0.6,1,0.154639175257732,0.267857142857143
6,0.61,1,0.144329896907216,0.252252252252252
6,0.62,1,0.134020618556701,0.236363636363636
6,0.63,1,0.11340206185567,0.203703703703704
6,0.64,1,0.0927835051546392,0.169811320754717
6,0.65,1,0.0824742268041237,0.152380952380952
6,0.66,1,0.0721649484536082,0.134615384615385
6,0.67,1,0.0721649484536082,0.134615384615385
6,0.68,1,0.0721649484536082,0.134615384615385
6,0.69,1,0.0618556701030928,0.116504854368932
6,0.7,1,0.0515463917525773,0.0980392156862745
6,0.71,1,0.0412371134020619,0.0792079207920792
6,0.72,1,0.0309278350515464,0.06
6,0.73,1,0.0309278350515464,0.06
6,0.74,1,0.0206185567010309,0.0404040404040404
6,0.75,1,0.0206185567010309,0.0404040404040404
6,0.76,1,0.0206185567010309,0.0404040404040404
7,0.1,0.0097,1,0.0192136278102407
7,0.11,0.0097,1,0.0192136278102407
7,0.12,0.0097,1,0.0192136278102407
7,0.13,0.0097,1,0.0192136278102407
7,0.14,0.0097,1,0.0192136278102407
7,0.15,0.0097,1,0.0192136278102407
7,0.16,0.0097,1,0.0192136278102407
7,0.17,0.0097,1,0.0192136278102407
7,0.18,0.0097,1,0.0192136278102407
7,0.19,0.0097,1,0.0192136278102407
7,0.2,0.0097,1,0.0192136278102407
7,0.21,0.0097,1,0.0192136278102407
7,0.22,0.0097,1,0.0192136278102407
7,0.23,0.0097,1,0.0192136278102407
7,0.24,0.0097,1,0.0192136278102407
7,0.25,0.0097,1,0.0192136278102407
7,0.26,0.0097,1,0.0192136278102407
7,0.27,0.0097,1,0.0192136278102407
7,0.28,0.00970679475632943,1,0.0192269573835481
7,0.29,0.00970679475632943,1,0.0192269573835481
7,0.3,0.00973406924234822,1,0.0192804611409263
7,0.31,0.00977231513197663,1,0.0193554823905018
7,0.32,0.00991617256184829,1,0.0196376151432331
7,0.33,0.0103092783505155,1,0.0204081632653061
7,0.34,0.0111862036821254,0.989690721649485,0.0221223643276875
7,0.35,0.0128673980766626,0.979381443298969,0.0254010695187166
7,0.36,0.0160581473968898,0.979381443298969,0.0315982038915683
7,0.37,0.0216317893251822,0.948453608247423,0.0422988505747126
7,0.38,0.0300518134715026,0.896907216494845,0.0581550802139037
7,0.39,0.044004400440044,0.824742268041237,0.0835509138381201
7,0.4,0.0678899082568807,0.762886597938144,0.124684077506318
7,0.41,0.109677419354839,0.701030927835051,0.189679218967922
7,0.42,0.17983651226158,0.680412371134021,0.28448275862069
7,0.43,0.279816513761468,0.628865979381443,0.387301587301587
7,0.44,0.397260273972603,0.597938144329897,0.477366255144033
7,0.45,0.524271844660194,0.556701030927835,0.54
7,0.46,0.714285714285714,0.515463917525773,0.598802395209581
7,0.47,0.819672131147541,0.515463917525773,0.632911392405063
7,0.48,0.909090909090909,0.515463917525773,0.657894736842105
7,0.49,0.96,0.494845360824742,0.653061224489796
7,0.5,0.977777777777778,0.45360824742268,0.619718309859155
7,0.51,1,0.422680412371134,0.594202898550725
7,0.52,1,0.422680412371134,0.594202898550725
7,0.53,1,0.402061855670103,0.573529411764706
7,0.54,1,0.381443298969072,0.552238805970149
7,0.55,1,0.329896907216495,0.496124031007752
7,0.56,1,0.319587628865979,0.484375
7,0.57,1,0.247422680412371,0.396694214876033
7,0.58,1,0.237113402061856,0.383333333333333
7,0.59,1,0.175257731958763,0.298245614035088
7,0.6,1,0.154639175257732,0.267857142857143
7,0.61,1,0.144329896907216,0.252252252252252
7,0.62,1,0.134020618556701,0.236363636363636
7,0.63,1,0.11340206185567,0.203703703703704
7,0.64,1,0.0927835051546392,0.169811320754717
7,0.65,1,0.0824742268041237,0.152380952380952
7,0.66,1,0.0721649484536082,0.134615384615385
7,0.67,1,0.0721649484536082,0.134615384615385
7,0.68,1,0.0721649484536082,0.134615384615385
7,0.69,1,0.0618556701030928,0.116504854368932
7,0.7,1,0.0515463917525773,0.0980392156862745
7,0.71,1,0.0412371134020619,0.0792079207920792
7,0.72,1,0.0309278350515464,0.06
7,0.73,1,0.0309278350515464,0.06
7,0.74,1,0.0206185567010309,0.0404040404040404
7,0.75,1,0.0206185567010309,0.0404040404040404
7,0.76,1,0.0206185567010309,0.0404040404040404
8,0.1,0.0097,1,0.0192136278102407
8,0.11,0.0097,1,0.0192136278102407
8,0.12,0.0097,1,0.0192136278102407
8,0.13,0.0097,1,0.0192136278102407
8,0.14,0.0097,1,0.0192136278102407
8,0.15,0.0097,1,0.0192136278102407
8,0.16,0.0097,1,0.0192136278102407
8,0.17,0.0097,1,0.0192136278102407
8,0.18,0.0097,1,0.0192136278102407
8,0.19,0.0097,1,0.0192136278102407
8,0.2,0.0097,1,0.0192136278102407
8,0.21,0.0097,1,0.0192136278102407
8,0.22,0.0097,1,0.0192136278102407
8,0.23,0.0097,1,0.0192136278102407
8,0.24,0.0097,1,0.0192136278102407
8,0.25,0.0097,1,0.0192136278102407
8,0.26,0.0097,1,0.0192136278102407
8,0.27,0.0097,1,0.0192136278102407
8,0.28,0.0097,1,0.0192136278102407
8,0.29,0.0097,1,0.0192136278102407
8,0.3,0.0097,1,0.0192136278102407
8,0.31,0.00972431077694236,1,0.0192613185067514
8,0.32,0.00975462590506838,1,0.0193207847823922
8,0.33,0.00990604575163399,1,0.0196177571038528
8,0.34,0.0104177854151004,1,0.0206207482993197
8,0.35,0.0115119867078092,1,0.0227619382846416
8,0.36,0.0134926212227688,0.989690721649485,0.0266222961730449
8,0.37,0.0172978878368536,0.979381443298969,0.0339953480050098
8,0.38,0.0228556753980483,0.917525773195876,0.0446003507892759
8,0.39,0.0334928229665072,0.865979381443299,0.0644913627639156
8,0.4,0.0489556135770235,0.77319587628866,0.0920810313075506
8,0.41,0.080188679245283,0.701030927835051,0.143915343915344
8,0.42,0.13508064516129,0.690721649484536,0.225969645868465
8,0.43,0.214035087719298,0.628865979381443,0.319371727748691
8,0.44,0.325842696629214,0.597938144329897,0.421818181818182
8,0.45,0.473684210526316,0.556701030927835,0.511848341232228
